Ingredient name,Role in formulation
Pinus Densiflora Seed Oil,Emollient
Pinus Halepensis Branch/Leaf Oil,Emollient
Pinus Halepensis Needle Extract,Active
Pinus Halepensis Seed Oil,Emollient
Pinus Heldreichii Bark Extract,Active
Pinus Koraiensis Callus Culture Extract,Active
Pinus Koraiensis Cone Extract,Active
Pinus Koraiensis Seed Extract,Active
Pinus Koraiensis Seed Oil,Emollient
Pinus Koraiensis Shell Extract,Active
Pinus Lambertiana Wood Extract,Active
Pinus Lauricio Branch/Leaf Oil,Emollient
Pinus Lauricio Leaf Oil,Emollient
Pinus Longifolia Wood Extract,Active
Pinus Mugo Leaf Oil,Emollient
Pinus Mugo Pumilio Twig Leaf Extract,Active
Pinus Mugo Pumilio Twig Leaf Oil,Emollient
Pinus Mugo Twig Leaf Extract,Active
Pinus Mugo Twig Oil,Emollient
Pinus Nigra Bud/Needle Extract,Active
Pinus Nigra Twig Leaf Extract,Active
Pinus Nigra Twig Leaf Oil,Emollient
Pinus Palustris Leaf Extract,Active
Pinus Palustris Oil,Emollient
Pinus Palustris Resin Extract,Active
Pinus Palustris Tar Oil,Emollient
Pinus Palustris Twig Leaf Extract,Active
Pinus Palustris Twig Leaf Oil,Emollient
Pinus Parviflora Cone Extract,Active
Pinus Parviflora Seed Oil,Emollient
Pinus Pentaphylla Seed Oil,Emollient
Pinus Pinaster Bark Extract,Active
Pinus Pinaster Bark/Bud Extract,Active
Pinus Pinaster Leaf Extract,Active
Pinus Pinaster Leaf/Twig Oil,Emollient
Pinus Pinaster Seed Oil,Emollient
Pinus Pinaster Twig Leaf Extract,Active
Pinus Pinaster Twig Leaf Oil,Emollient
Pinus Pinaster Wood Extract,Active
Pinus Pinea Kernel Extract,Active
Pinus Pinea Kernel Oil,Emollient
Pinus Ponderosa Branch/Leaf Oil,Emollient
Pinus Pumila Needle Extract,Active
Pinus Pumila Twig Leaf Extract,Active
Pinus Pumila Twig Leaf Oil,Emollient
Pinus Pumilio Bark Extract,Active
Pinus Pumilio Branch/Leaf Oil,Emollient
Pinus Pumilio Leaf Extract,Active
Pinus Radiata Bark Extract,Active
Pinus Rigida Bark Extract,Active
Pinus Sibirica Needle Extract,Active
Pinus Sibirica Seed Extract,Active
Pinus Sibirica Seed Oil,Emollient
Pinus Sibirica Seed Oil Polyglyceryl-6 Esters,"Emollient, Humectant, Solvent"
Pinus Species Twig Leaf Extract,Active
Pinus Species Twig Leaf Oil,Emollient
Pinus Strobus Bark Extract,Active
Pinus Strobus Cone Extract,Active
Pinus Strobus Twig Oil,Emollient
Pinus Sylvestris Bark Extract,Active
Pinus Sylvestris Bud Extract,Active
Pinus Sylvestris Cone Extract,Active
Pinus Sylvestris Leaf Extract,Active
Pinus Sylvestris Leaf Oil,Emollient
Pinus Sylvestris Oil,Emollient
Pinus Sylvestris Twig Leaf Extract,Active
Pinus Sylvestris Twig Leaf Oil,Emollient
Pinus Sylvestris Wood Extract,Active
Pinus Tabuliformis Bark Extract,Active
Pinus Taeda Bark Extract,Active
Pinus Thunbergii Bark Extract,Active
Pinus Thunbergii Branch/Leaf Extract,Active
Pinus Thunbergii Cone Extract,Active
Pinus Thunbergii Leaf Extract,Active
Piper Angustifolium Extract,Active
Piper Angustifolium Leaf Extract,Active
Piper Aurantiacum Fruit Extract,Active
Piper Betle Leaf Extract,Active
Piper Betle Leaf Oil,Emollient
Piper Cubeba Fruit Extract,Active
Piper Cubeba Fruit Oil,Emollient
Piper Longum Fruit Extract,Active
Piper Malacophyllum Flower/Leaf/Stem Oil,Emollient
Piper Marginatum Leaf Extract,Active
Piper Methysticum Leaf/Root/Stem Extract,Active
Piper Methysticum Rhizome/Root Extract,Active
Piper Methysticum Root Extract,Active
Piper Mollicomum Flower/Leaf/Stem Oil,Emollient
Piper Nigrum Callus Extract,Active
Piper Nigrum Fruit Extract,Active
Piper Nigrum Fruit Oil,Emollient
Piper Nigrum Seed Extract,Active
Piper Nigrum Seed Oil,Emollient
Piper Retrofractum Fruit Extract,Active
Piper Sarmentosum Leaf Extract,Active
Piper Umbellatum Root Extract,Active
Piperonyl Glucoside,Emulsifier
Piptadenia Colubrina Peel Extract,Active
Pisces Extract,Active
Piscum Cartilage Extract,Active
Piscum Iecur Oil,Emollient
Piscum Lecur Oil,Emollient
Piscum Ovum Extract,Active
Pisonia Grandis Leaf Extract,Active
Pistacia Lentiscus Fruit Oil,Emollient
Pistacia Lentiscus Gum Oil,Emollient
Pistacia Lentiscus Leaf Extract,Active
Pistacia Lentiscus Leaf Oil,Emollient
Pistacia Lentiscus Seed Oil,Emollient
Pistacia Vera Seed Extract,Active
Pistacia Vera Seed Oil,Emollient
Pisum Sativum Callus Extract,Active
Pisum Sativum Extract,Active
Pisum Sativum Peptide,Active
Pisum Sativum Phytoplacenta Extract,Active
Pisum Sativum Seed Extract,Active
Pisum Sativum Sprout Extract,Active
Pisum Sativum Symbiosome Extract,Active
Pithecellobium Tenue Wood Extract,Active
Pittosporum Eugenioides Flower/Leaf Extract,Active
Pittosporum Tobira Branch/Leaf Extract,Active
Pittosporum Viridiflorum Flower Extract,Active
Placental Extract,Active
Plankton Extract,Active
Plant Ash Extract,Active
Plantago Asiatica Extract,Active
Plantago Asiatica Leaf/Stem Extract,Active
Plantago Asiatica Seed Extract,Active
Plantago Lanceolata Leaf Extract,Active
Plantago Major Callus Culture Extract,Active
Plantago Major Callus Extract,Active
Plantago Major Leaf Extract,Active
Plantago Major Seed Extract,Active
Plantago Ovata Leaf Extract,Active
Plantago Ovata Seed Extract,Active
Plantago Psyllium Seed Extract,Active
Platanus Occidentalis Bark Extract,Active
Platinum Divinyldisiloxane,Emollient
Platonia Insignis Seed Butter,Emollient
Platonia Insignis Seed Oil,Emollient
Platycarya Strobilacea Branch Extract,Active
Platycarya Strobilacea Extract,Active
Platycarya Strobilacea Fruit Extract,Active
Platycodon Grandiflorus Root Extract,Active
Plectranthus Amboinicus Leaf/Stem Oil,Emollient
Plectranthus Barbatus Root Extract,Active
Plectranthus Tomentosa Extract,Active
Pleiogynium Timoriense Fruit Extract,Active
Pleurochrysis Carterae Extract,Active
Pleuropterus Multiflorus Callus Culture Extract,Active
Pleurotus Cornucopiae Extract,Active
Pleurotus Cystidiosus Ferment Filtrate,Active
Pleurotus Ferulae Mycelium Extract,Active
Pleurotus Ferulae/Panax Ginseng Berry Extract Ferment Filtrate,Active
Pleurotus Ostreatus Extract,Active
Pleurotus Sajor-Caju Ferment Filtrate,Active
Pleurotus/Rosa Canina Ferment Extract,Active
Plinia Cauliflora Fruit Extract,Active
Pluchea Indica Leaf Extract,Active
Plukenetia Volubilis Seed Extract,Active
Plukenetia Volubilis Seed Oil,Emollient
Plukenetia Volubilis Seed Oil/Oleic Acid Aminopropanediol Amides/Esters,"Emollient, Humectant, Solvent"
Plukenetia Volubilis Seedcake Extract,Active
Plumbago Rosea Root Extract,Active
Plumbago Zeylanica Flower Extract,Active
Plumbago Zeylanica Flower/Root Extract,Active
Plumbago Zeylanica Root Extract,Active
Plumeria Acutifolia Flower Extract,Active
Plumeria Alba Flower Extract,Active
Plumeria Alba Flower Oil,Emollient
Plumeria Obtusa Leaf Cell Extract,Active
Plumeria Rubra Flower Extract,Active
P-Methylaminophenol Sulfate,Emulsifier
Poa Annua Extract,Active
Podocarpus Elatus Fruit Extract,Active
Podocarpus Macrophyllus Leaf Extract,Active
Podocarpus Neriifolius Leaf Extract,Active
Podocarpus Totara Wood Extract,Active
Podophyllum Peltatum Rhizome/Root Extract,Active
Pogostemon Cablin Flower Extract,Active
Pogostemon Cablin Leaf Extract,Active
Pogostemon Cablin Leaf Oil,Emollient
Pogostemon Cablin Leaf/Stem Extract,Active
Pogostemon Cablin Oil,Emollient
Polianthes Tuberosa Callus Extract,Active
Polianthes Tuberosa Extract,Active
Polianthes Tuberosa Flower Extract,Active
Polianthes Tuberosa Flower Oil,Emollient
Pollen Extract,Active
Pollia Condensata Fruit Extract,Active
Pollia Condensata Meristem Cell Extract,Active
Poloxamer 184 Camellia Sinensis Seedate,"Active - Antioxidant, Active"
"Poly 1,2-Butanediol-6 Propylene Glycol","Humectant, Solvent"
Poly Hema Glucoside,Emulsifier
"Poly(1,2-Butanediol)-4 Peg/Ppg-29/9 Methyl Glucose","Humectant, Solvent"
"Poly(1,2-Butanediol)-40 Xylitol Ether","Humectant, Solvent"
"Poly(1,2-Butanediol)-55/Peg-90 Pentaerythrityl Ether",Emulsifier
"Poly(1,2-Butanediol)-6 Propylene Glycol","Humectant, Solvent"
"Poly(1,4-Butanediol)-9 Dipalmitate","Emollient, Humectant, Solvent"
Poly(Beta-Benzyl Glutamate) Methoxy Peg-240 Amide,Emulsifier
Poly(Dimer Almond Oil),Emollient
Poly(Dimer Grapeseed Oil),Emollient
Poly(Dimer Hempseed Oil),Emollient
Poly(Dipropyleneglycol Adipate),"Humectant, Solvent"
Poly(Glycol Adipate)/Bis-Hydroxyethoxypropyl Dimethicone Copolymer,"Emollient, Humectant, Solvent"
Poly(Linseed Oil),Emollient
Poly(Methoxy Peg-9 Methacrylate),Emulsifier
Poly(Tripeptide-6),Active
Polyalkylaminoester-1,Emollient
Polyalthia Longifolia Wood Extract,Active
Polyaminopropyl Biguanide Stearate,Emollient
Polyanthranilic Acid Sulfate,Emulsifier
Polybutylene Glycol/Mdi Copolymer,"Humectant, Solvent"
Polybutylene Glycol/Ppg-9/1 Copolymer,"Humectant, Solvent"
Polybutylene Glycol-10,"Humectant, Solvent"
Polydatin Glucoside,Emulsifier
Polydiethyleneglycol Adipate/Ipdi Copolymer,"Humectant, Solvent"
Polydiethylsiloxane,Emollient
Polydimethylsiloxyethyl Dimethicone/Bis-Vinyldimethicone Crosspolymer,Emollient
Polydimethylsiloxyethyl Dimethicone/Methicone Copolymer,Emollient
Polyester-1,Emollient
Polyester-10,Emollient
Polyester-11,Emollient
Polyester-12,Emollient
Polyester-13,Emollient
Polyester-14,Emollient
Polyester-15,Emollient
Polyester-16,Emollient
Polyester-17,Emollient
Polyester-18,Emollient
Polyester-19,Emollient
Polyester-2,Emollient
Polyester-21,Emollient
Polyester-22,Emollient
Polyester-23,Emollient
Polyester-24,Emollient
Polyester-25,Emollient
Polyester-26,Emollient
Polyester-27,Emollient
Polyester-28,Emollient
Polyester-29,Emollient
Polyester-3,Emollient
Polyester-30,Emollient
Polyester-31,Emollient
Polyester-32,Emollient
Polyester-33,Emollient
Polyester-34,Emollient
Polyester-35,Emollient
Polyester-36,Emollient
Polyester-37,Emollient
Polyester-38,Emollient
Polyester-4,Emollient
Polyester-5,Emollient
Polyester-6,Emollient
Polyester-7,Emollient
Polyester-8,Emollient
Polygala Senega Root Extract,Active
Polygala Tenuifolia Root Extract,Active
Polyglycerin-10,"Humectant, Solvent"
Polyglycerin-20,"Humectant, Solvent"
Polyglycerin-3,"Humectant, Solvent"
Polyglycerin-4,"Humectant, Solvent"
Polyglycerin-40,"Humectant, Solvent"
Polyglycerin-6,"Humectant, Solvent"
Polyglyceryl Dimer Soyate,"Humectant, Solvent"
Polyglyceryl Sorbitol,"Humectant, Solvent"
Polyglyceryl-10 Apricot Kernelate,"Humectant, Solvent"
Polyglyceryl-10 Behenate/Eicosadioate,"Humectant, Solvent"
Polyglyceryl-10 Bis(Hydroxypropyl Lauryl Ether),"Humectant, Solvent"
Polyglyceryl-10 Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Caprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Caprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Cocoate,"Humectant, Solvent"
Polyglyceryl-10 Decaethylhexanoate,"Humectant, Solvent"
Polyglyceryl-10 Decahydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Decaisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Decalinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Decamacadamiate,"Humectant, Solvent"
Polyglyceryl-10 Decaoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Decastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dicocoate,"Humectant, Solvent"
Polyglyceryl-10 Didecanoate,"Humectant, Solvent"
Polyglyceryl-10 Diisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dilaurate,"Humectant, Solvent"
Polyglyceryl-10 Dimer Dilinoleate/Stearate/Hydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dimyristate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dipalmitate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Distearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dodecabehenate,"Humectant, Solvent"
Polyglyceryl-10 Dodecacaprate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dodecacaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Dodeca-Caprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Eicosanedioate/Tetradecanedioate,"Humectant, Solvent"
Polyglyceryl-10 Hepta(Behenate/Stearate),"Emollient, Humectant, Solvent"
Polyglyceryl-10 Heptacaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Heptahydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Heptaoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Heptastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Hexacaprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Hexaerucate,"Humectant, Solvent"
Polyglyceryl-10 Hexaisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Hexaoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Hydroxypropyl Ethylhexyl Ether,"Humectant, Solvent"
Polyglyceryl-10 Hydroxypropyl Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-10 Hydroxystearate/Stearate/Eicosadioate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Isostearate/Succinate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Isostearyl Ether,"Humectant, Solvent"
Polyglyceryl-10 Laurate,"Humectant, Solvent"
Polyglyceryl-10 Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-10 Linoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Mono/Dioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Myristate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Nonaerucate,"Humectant, Solvent"
Polyglyceryl-10 Nonaisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Palmate,"Humectant, Solvent"
Polyglyceryl-10 Palmitate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentacaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentahydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentaisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentalaurate,"Humectant, Solvent"
Polyglyceryl-10 Pentalinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentaoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentaricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Pentastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Polyhydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Polyricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Sesquistearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Tetradecanedioate,"Humectant, Solvent"
Polyglyceryl-10 Tetralaurate,"Humectant, Solvent"
Polyglyceryl-10 Tetraoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Tricocoate,"Humectant, Solvent"
Polyglyceryl-10 Tridecanoate,"Humectant, Solvent"
Polyglyceryl-10 Trierucate,"Humectant, Solvent"
Polyglyceryl-10 Triisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Trilaurate,"Humectant, Solvent"
Polyglyceryl-10 Trioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Tristearate,"Emollient, Humectant, Solvent"
Polyglyceryl-10 Undecylenate,"Humectant, Solvent"
Polyglyceryl-10/Sebacic Acid/Shea Butter Crosspolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-12 Bis(Hydroxypropyl Ethylhexyl Ether),"Humectant, Solvent"
Polyglyceryl-15 Diisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Caprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Diisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Diisostearate/Ipdi Copolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Dioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Dipolyhydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Distearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Hydroxypropyl Ethylhexyl Ether,"Humectant, Solvent"
Polyglyceryl-2 Hydroxypropyl Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-2 Isononanoate/Dimer Dilinoleate Copolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Isopalmitate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Isopalmitate/Sebacate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Lanolin Alcohol Ether,"Humectant, Solvent"
Polyglyceryl-2 Laurate,"Humectant, Solvent"
Polyglyceryl-2 Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-2 Myristate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Oleyl Ether,"Humectant, Solvent"
Polyglyceryl-2 Palmitate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Sesquicaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Sesquiisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Sesquioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Sesquistearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Sorbitan Tetraethylhexanoate,"Humectant, Solvent"
Polyglyceryl-2 Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Tetrabehenate/Macadamiate/Sebacate,"Humectant, Solvent"
Polyglyceryl-2 Tetraisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Tetraoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Tetrapelargonate,"Humectant, Solvent"
Polyglyceryl-2 Tetrastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-2 Triisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Docosabehenate/Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Docosabehenate/Laurate,"Humectant, Solvent"
Polyglyceryl-20 Docosabehenate/Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Heptacaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Heptadecabehenate/Laurate,"Humectant, Solvent"
Polyglyceryl-20 Hexacaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-20 Octadecabehenate/Laurate,"Humectant, Solvent"
Polyglyceryl-20 Octaisononanoate,"Emollient, Humectant, Solvent"
Polyglyceryl-20 Pentacaprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-25/Caprolactone,"Humectant, Solvent"
Polyglyceryl-2-Peg-4 Stearate,"Emollient, Emulsifier"
Polyglyceryl-3 Beeswax,"Occlusive Agent, Humectant, Solvent, Texture Enhancer"
Polyglyceryl-3 Behenate,"Humectant, Solvent"
Polyglyceryl-3 Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Caprate/Caprylate/Stearate/Dimer Dilinoleate Crosspolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Caprate/Caprylate/Succinate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Caprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Cetearyl Ether Olivate,"Humectant, Solvent"
Polyglyceryl-3 Cetyl Ether,"Humectant, Solvent"
Polyglyceryl-3 Cetyl Ether Olivate/Succinate,"Humectant, Solvent"
Polyglyceryl-3 Cetyl Ether Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Cocoate,"Humectant, Solvent"
Polyglyceryl-3 Decyltetradecyl Ether,"Humectant, Solvent"
Polyglyceryl-3 Dicaprate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Dicitrate/Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Dicocoate,"Humectant, Solvent"
Polyglyceryl-3 Di-Hydroxystearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Diisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Dilaurate,"Humectant, Solvent"
Polyglyceryl-3 Dioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Disiloxane Dimethicone,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Distearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Hydroxylauryl Ether,"Humectant, Solvent"
Polyglyceryl-3 Hydroxypropyl Ethylhexyl Ether,"Humectant, Solvent"
Polyglyceryl-3 Hydroxypropyl Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-3 Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Laurate,"Humectant, Solvent"
Polyglyceryl-3 Methylglucose Distearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Myristate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Oleyl Ether Phosphate,"Humectant, Solvent"
Polyglyceryl-3 Olivate Phosphate,"Humectant, Solvent"
Polyglyceryl-3 Palmitate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Pca,"Humectant, Solvent"
Polyglyceryl-3 Pentacaprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Pentaolivate,"Humectant, Solvent"
Polyglyceryl-3 Pentaricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Polyricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Propyl Ether,"Humectant, Solvent"
Polyglyceryl-3 Rice Branate,"Humectant, Solvent"
Polyglyceryl-3 Rice Branate Phosphate,"Humectant, Solvent"
Polyglyceryl-3 Ricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Sorbityl Glycyrrhetinate,"Humectant, Solvent"
Polyglyceryl-3 Sorbityl Linseedate,"Humectant, Solvent"
Polyglyceryl-3 Soyate/Shea Butterate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Stearate Se,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Stearate/Isostearate/Dimer Dilinoleate Copolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Stearate/Isostearate/Dimer Dilinoleate Crosspolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Stearate/Oleate/Dimer Dilinoleate Crosspolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Sunflowerseedate/Citrate Crosspolymer,"Humectant, Solvent"
Polyglyceryl-3 Triisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-3 Triolivate,"Humectant, Solvent"
Polyglyceryl-3 Trisiloxane,"Emollient, Humectant, Solvent"
Polyglyceryl-3/Lauryl Polydimethylsiloxyethyl Dimethicone Crosspolymer,"Emollient, Humectant, Solvent"
Polyglyceryl-35 Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-4 Almondate/Shea Butterate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Caprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Caprylate/Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Cocoate,"Humectant, Solvent"
Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Dilaurate,"Humectant, Solvent"
Polyglyceryl-4 Distearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Hazelnutseedate,"Humectant, Solvent"
Polyglyceryl-4 Hydroxypropyl Ethylhexyl Ether,"Humectant, Solvent"
Polyglyceryl-4 Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Isostearate/Laurate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Laurate,"Humectant, Solvent"
Polyglyceryl-4 Laurate/Sebacate,"Humectant, Solvent"
Polyglyceryl-4 Laurate/Succinate,"Humectant, Solvent"
Polyglyceryl-4 Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-4 Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Oleyl Ether,"Humectant, Solvent"
Polyglyceryl-4 Oleyl Ether Olivate,"Humectant, Solvent"
Polyglyceryl-4 Olivate,"Humectant, Solvent"
Polyglyceryl-4 Pentaoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Pentapalmitate/Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Pentastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Polyricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Punicate,"Humectant, Solvent"
Polyglyceryl-4 Sorbityl Ether Olivate Phosphate,"Humectant, Solvent"
Polyglyceryl-4 Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Sweet Almondate,"Humectant, Solvent"
Polyglyceryl-4 Trisiloxane,"Emollient, Humectant, Solvent"
Polyglyceryl-4 Tristearate,"Emollient, Humectant, Solvent"
Polyglyceryl-4-Peg-2 Cocamide,Emulsifier
Polyglyceryl-5 Bis(Hydroxypropyl Ethylhexyl Ether),"Humectant, Solvent"
Polyglyceryl-5 Caprate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Dicaprylate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Dilaurate,"Humectant, Solvent"
Polyglyceryl-5 Dioleate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Hexastearate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Hydroxypropyl Lauryl Ether,"Humectant, Solvent"
Polyglyceryl-5 Isostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Laurate,"Humectant, Solvent"
Polyglyceryl-5 Myristate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Oleate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Pentamyristate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Polyricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Ricinoleate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Stearate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Tribehenate,"Humectant, Solvent"
Polyglyceryl-5 Triisostearate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Trimyristate,"Emollient, Humectant, Solvent"
Polyglyceryl-5 Trioleate,"Emollient, Humectant, Solvent"
